date,Sore,Efek Rumah Kaca,Rumahsakit,Stars and Rabbit,Dialog Dini Hari,Adhitia Sofyan,The SIGIT,Endah N Rhesa,Goodnight Electric,Monkey to Millionaire,White Shoes & The Couples Company,The Upstairs,The Adams,Barasuara,Seringai,Angsa & Serigala,Frau,Sajama Cut,Mocca,Float,Naif,Morfem,Bin Idris,Monita Tahalea,Polka Wars,Silampukau,Kelompok Penerbang Roket,Fstvlst,Mondo Gascaro,Elephant Kind,The Trees and The Wild,Reality Club,Heidi (The Girl with the Hair),Vira Talisa,Oscar Lolang,Navicula,Banda Neira,Teenage Death Star,Sisir Tanah,Indische Party,Pandai Besi,Figura Renata,Pijar,Sisitipsi,Mr. Sonjaya,Nosstress,Rocket Rockers,L'Alphalpha,Matter Halo,MALIQ & D'Essentials,Danilla,Senar Senja,Mustache and Beard,Gugun Blues Shelter,Bangkutaman,Sigmun,Grrrl Gang,Melancholic Bitch,Coldiac,Burgerkill,Garamerica,Sal Priadi,Pee Wee Gaskins,Polyester Embassy,Skastra,MarcoMarche,Iksan Skuter,.Feast,The Panasdalam,Kunto Aji,Koil,Fletch,Bilal Indrajaya,AriReda,Bottlesmoker,Tashoora,Homogenic,Sir Dandy,Kurosuke,Jirapah,SCALLER,The Shaggy Dog,Pagi Tadi,Payung Teduh,Rio Satrio,Rock N Roll Mafia,Amigdala,Mooner,Teddy Adhitya,eleventwelfth,Daramuda,Endank Soekamti,Alone At Last,Cholil Mahmud,The Panturas,The Changcuters,Rendy Pandugo,Petra Sihombing,Heals,Agrikulture,Superman Is Dead,Barefood,Killing Me Inside,Pohon Tua,Dried Cassava,Romantic Echoes,Souljah,Svmmerdose,Fourtwnty,Santamonica,The Brandals,DeadSquad,NTRL,Asteriska,Various Artists,Rusa Militan,Tompi,The Cat Police,Ten2Five,Slank,Themilo,Ape On The Roof,Chrisye,Utha Likumahuwa,Adams,Sandrayati Fay,RAN,Fiersa Besari,Dialog Senja,NonaRia,Mantra Vutura,Dua Ibu,Nidji,Ify Alyssa,Iga Massardi,Tuantigabelas,Dubyouth Soundsystem,Isyana Sarasvati,Ballads of the Cliche,Dewa,Padi,Tony Q Rastafara,Christabel Annora,Cupumanik,rebelsuns.,Ras Muhamad,Bedchamber,Iwan Fals,St.Loco,Elegi,eńau,Hindia,Pusakata,Guruh Soekarno Putra,TIGER BABY,Hivi!,The Panasdalam Bank,Dewa 19,Vincent Vega,The Paps,Andien,The Banery,Rubah Di Selatan,Sarasvati,Pygmy Marmoset,Kubik,Deugalih & Folks,Seiring Waktu Berjalan,Baby Eats Crackers,The Groove,Holaspica,Semenjana,Morgue Vanguard,Sheila On 7,Murphy Radio,Ecoutez,Manjakani,Gardika Gigih,Andra & The Backbone,Annemarie,Oslo Ibrahim,Olski,Nadin Amizah,Jangar,Lipgloss,Under The Big Bright Yellow Sun,Komunal,Texpack,Good Morning Everyone,Puti Chitara,Homicide (Indonesia),Stereo Wall,J-Rocks,Ddhear,Layur,Alvin & I,Aya Anjani,Thedyingsirens,OWNDRIS,Teampal,Junior Soemantri,Sungai,Salman Aditya,Classmate Journal,Janitra Satriani,Ivan Gojaya,ikkubaru,Imam Darto Project,Marcel Thee,Notturno,Neckemic,Protocol Afro,Ringgo 5,Scared Of Bums,Galant,Risin Black Hole,Panda Beach,Auretté and The Polska Seeking Carnival,Atlesta,Ping Pong Club,Dini,Kebunku,Suri,Sarin,Tomorrow People Ensemble,Dom 65,Pewee in the Garage,Discotion Pill,Jagostu,lightcraft,The Marmars,Galdive,Megatruh,Are You Alone?,Fia,Peonies,Melly Goeslaw,Netral
2014-01-01,30,8,1,0,1,11,85,80,4,5,3,6,48,0,46,0,4,0,49,25,55,2,1,3,0,7,0,14,0,0,24,0,0,0,0,16,15,2,1,0,5,0,18,0,0,12,72,0,0,0,0,1,0,19,1,2,0,2,0,86,0,0,77,1,0,0,0,0,0,0,78,0,0,0,1,0,52,9,0,9,0,0,0,2,0,7,3,0,3,0,0,54,12,0,0,3,0,73,0,0,54,0,53,1,0,0,38,0,0,0,11,68,0,3,8,0,5,0,4,100,0,0,40,1,47,0,16,1,0,0,0,2,100,1,0,0,0,0,0,79,53,7,0,0,0,1,0,72,0,1,0,17,0,2,2,0,0,79,0,3,2,0,0,1,0,14,0,0,0,4,0,0,0,33,0,34,31,0,12,0,0,0,0,4,11,0,22,0,6,0,0,0,100,0,11,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,2,0,8,99,0,0,0,48,0,57,1,9,0,0,0,0,9,78,0,0,0,4,0,34,0,31,24
2014-02-01,30,8,1,0,1,15,96,52,2,2,6,3,38,0,58,0,3,1,44,23,53,3,0,4,0,0,0,13,0,0,22,4,0,0,0,14,12,2,1,1,4,0,19,0,0,8,61,0,0,0,3,0,0,19,1,2,0,0,0,97,0,0,71,1,0,0,0,0,0,0,74,0,0,0,1,0,46,14,9,9,0,0,1,2,0,9,4,0,4,0,0,53,11,0,0,2,0,74,0,0,50,0,63,0,0,0,35,0,0,0,14,70,2,0,7,0,4,0,4,85,0,0,47,1,43,0,16,1,0,0,0,2,57,1,0,0,0,0,0,77,55,6,0,1,0,1,0,73,0,1,0,19,0,1,1,0,0,79,0,2,3,0,0,1,0,15,0,0,0,4,0,0,0,24,0,28,39,0,15,1,0,0,0,2,16,0,22,0,15,0,0,0,83,0,12,0,0,0,0,0,0,58,0,0,0,0,39,0,0,0,0,2,2,11,90,35,17,0,17,0,62,1,8,0,0,0,0,20,89,0,0,0,6,0,30,0,26,25
2014-03-01,29,8,1,0,1,18,99,45,3,5,5,7,39,0,73,0,4,1,40,23,54,3,0,2,0,0,0,14,0,3,21,0,0,0,0,16,14,1,1,1,4,0,17,0,0,8,68,0,0,0,2,0,0,20,1,2,0,1,0,100,0,0,73,1,0,0,0,0,0,0,76,1,0,0,1,0,40,24,0,0,0,0,0,1,0,5,3,0,3,0,0,53,12,0,0,3,0,59,0,0,49,0,69,1,0,0,36,0,0,0,17,43,0,2,8,0,4,0,4,72,0,0,49,1,41,0,19,1,0,0,0,2,55,0,0,0,0,0,0,73,56,6,0,1,0,1,0,76,0,1,0,66,0,1,1,0,0,73,0,3,3,0,0,1,0,13,0,0,0,4,0,0,0,24,0,34,29,0,9,1,0,0,0,2,10,3,31,0,13,3,0,0,69,0,13,0,31,0,0,0,0,52,0,0,0,0,0,0,0,34,1,0,0,6,89,15,30,0,15,15,65,1,9,0,0,0,0,9,82,0,0,0,7,0,38,0,28,28
2014-04-01,30,9,1,0,1,14,82,47,4,2,1,7,30,0,58,0,2,0,48,23,61,2,0,5,0,0,3,15,0,0,14,3,0,0,0,18,13,1,1,1,5,0,14,0,0,8,73,0,0,0,2,0,0,18,3,2,0,1,0,95,0,0,84,2,0,0,0,0,0,2,82,1,1,0,2,0,53,8,0,8,0,0,1,2,0,3,3,0,4,0,0,58,11,0,0,3,0,100,0,0,52,0,73,1,0,0,35,0,0,0,19,49,2,0,8,0,4,0,3,60,0,0,48,1,35,0,21,1,0,0,0,2,53,0,0,0,0,0,0,70,54,6,0,0,0,1,0,78,0,1,0,28,0,3,2,0,0,62,0,3,3,0,0,1,0,14,0,0,0,3,0,0,0,26,0,28,36,3,17,1,0,0,0,3,13,0,30,0,18,5,0,0,84,0,12,0,32,0,0,0,0,54,0,0,0,0,34,0,0,0,1,1,0,9,90,15,15,0,15,0,72,1,8,0,0,0,0,17,100,9,0,0,5,0,28,0,28,27
2014-05-01,32,11,1,0,1,13,92,71,3,7,1,11,32,0,53,0,5,1,43,25,56,2,0,2,0,0,0,29,3,0,18,0,0,0,0,27,12,1,0,1,5,0,13,0,0,8,70,0,0,0,1,1,1,19,1,1,0,1,0,95,1,0,79,1,0,0,0,0,1,3,78,0,0,0,1,0,29,25,0,8,0,0,0,2,0,5,8,3,4,0,0,60,13,0,0,3,0,92,0,0,54,0,59,1,0,0,35,0,0,0,12,54,0,3,9,0,5,0,4,62,0,0,39,1,37,0,23,1,0,0,0,2,46,0,0,0,0,0,0,77,54,6,0,1,0,1,0,86,0,1,0,23,0,2,1,0,0,66,0,3,3,0,0,1,0,16,0,0,0,3,0,0,0,33,0,42,37,0,12,1,0,0,0,6,16,3,30,0,14,0,0,0,72,0,18,0,32,0,0,0,0,56,0,0,0,0,0,0,0,0,1,1,1,7,95,0,15,0,69,0,59,1,9,0,0,0,0,18,61,0,0,0,6,0,29,0,30,28
2014-06-01,28,9,1,0,1,12,82,45,2,2,3,5,27,1,57,0,3,0,37,26,61,1,0,4,0,0,3,19,0,3,32,0,0,0,0,18,12,1,1,1,3,0,14,0,0,8,55,0,0,0,2,0,1,23,0,2,0,1,0,76,0,0,82,1,0,0,0,0,0,7,75,1,0,0,1,0,43,9,0,9,0,0,1,2,0,8,4,0,7,0,0,73,11,0,0,3,0,91,0,0,81,0,51,0,0,0,35,0,0,0,7,54,0,2,7,0,8,0,3,68,0,0,36,1,29,0,26,1,0,0,0,2,42,1,0,0,0,0,0,94,47,6,0,1,0,1,0,82,0,1,0,19,0,2,1,0,0,58,0,2,3,0,0,1,0,13,0,0,0,4,0,0,0,29,0,32,40,1,13,2,0,0,0,3,13,0,25,0,38,6,0,0,87,0,13,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,2,1,13,87,32,0,0,40,0,61,1,10,0,0,0,0,14,68,0,0,0,5,0,38,0,30,35
2014-07-01,23,4,1,0,1,15,69,48,4,7,4,6,19,0,62,0,2,0,41,23,50,2,0,2,0,0,0,15,0,0,19,7,0,0,0,16,14,1,1,0,3,0,8,0,0,7,73,0,0,0,2,0,0,19,0,2,0,1,0,84,0,0,86,3,0,0,0,0,1,9,67,0,0,0,1,0,30,13,9,17,0,0,1,2,0,4,6,0,4,0,0,63,11,0,0,3,0,50,0,0,62,1,49,1,0,0,33,0,0,0,13,60,0,0,9,0,6,0,3,67,0,0,35,1,28,0,25,1,0,0,0,1,42,1,0,0,0,0,0,100,40,6,0,1,0,1,0,75,0,1,0,17,0,2,1,0,0,50,0,2,4,0,0,1,0,11,0,0,0,2,0,0,0,26,0,27,26,0,11,1,0,0,0,2,21,3,29,0,18,3,0,0,66,0,12,0,0,0,0,0,0,37,0,0,0,0,72,0,0,36,0,1,0,9,85,16,0,0,0,16,47,1,14,0,0,0,0,0,83,18,0,0,1,0,30,0,25,40
2014-08-01,29,5,1,0,1,11,76,65,2,2,1,4,28,1,76,0,5,0,45,19,75,3,0,3,0,0,7,12,3,3,19,0,0,0,0,12,15,1,1,0,4,0,13,0,0,12,82,0,0,0,1,0,0,23,1,2,0,1,0,85,0,0,100,1,0,0,0,0,0,7,76,0,0,0,1,0,36,8,16,0,0,0,0,2,0,3,3,0,4,0,0,67,11,0,0,3,0,36,0,0,64,0,48,1,0,0,34,0,0,0,6,55,0,0,9,0,5,0,4,66,0,0,44,1,40,0,25,1,0,0,0,2,39,1,0,0,0,0,0,93,47,5,0,1,0,1,0,73,0,1,0,18,0,1,1,0,0,62,0,2,3,0,0,1,0,18,0,0,0,5,0,0,0,31,0,32,32,0,11,2,0,0,0,5,15,0,24,0,15,0,0,0,72,0,13,0,31,0,0,0,0,50,0,0,0,0,34,0,0,0,0,0,0,19,91,0,15,0,30,0,53,1,8,0,0,0,0,0,82,0,0,0,4,0,37,0,24,31
2014-09-01,31,7,1,0,1,15,91,61,2,3,1,6,31,0,75,0,6,1,61,24,77,5,0,3,0,0,0,42,8,3,14,0,0,0,0,14,11,1,1,1,5,0,16,0,0,11,74,0,0,0,3,0,1,18,1,2,0,1,0,90,0,0,88,1,0,0,0,0,0,6,78,0,0,0,0,0,31,23,0,8,0,0,0,2,0,4,5,0,2,0,0,85,10,0,0,3,0,29,0,0,74,0,69,1,0,0,41,0,0,0,8,59,0,2,4,0,6,0,4,72,0,0,52,1,39,0,36,1,0,0,0,2,46,1,0,0,0,0,0,89,56,7,0,1,0,1,0,77,0,1,0,34,0,1,1,0,0,70,0,3,3,0,0,1,0,26,0,0,0,4,0,0,0,42,0,29,50,1,12,3,0,1,0,4,19,3,60,0,34,3,0,0,60,0,13,0,0,0,0,0,0,64,0,0,0,0,0,33,0,32,0,1,0,18,69,14,0,0,29,0,57,1,8,0,0,0,0,8,82,0,0,0,5,0,39,0,37,32
2014-10-01,33,6,1,0,2,15,93,59,2,5,2,9,31,1,66,0,4,1,51,30,76,6,0,2,0,0,3,38,5,6,16,6,0,0,0,29,22,1,1,1,5,0,16,1,0,14,68,0,0,0,2,0,1,21,1,2,0,1,0,77,1,0,76,1,0,0,0,0,0,8,79,0,0,1,1,0,30,15,0,0,0,0,0,3,0,4,2,0,4,0,0,87,10,0,0,4,0,19,0,0,73,0,59,1,0,0,43,0,0,0,13,52,0,0,8,0,6,0,4,71,0,0,53,1,36,0,56,1,0,0,0,2,37,0,0,0,0,0,0,90,61,6,0,1,0,1,0,77,0,1,0,36,0,1,1,0,0,85,0,3,3,0,0,1,0,19,0,0,0,6,0,0,0,43,0,24,53,0,12,3,0,0,0,3,14,0,35,0,24,3,0,0,64,0,13,0,0,0,0,0,0,59,0,0,0,0,0,0,0,32,0,0,1,11,83,14,0,0,70,14,59,1,8,0,0,0,0,12,64,0,0,0,4,0,38,0,54,33
2014-11-01,33,7,1,0,2,16,90,61,3,5,3,11,35,1,100,0,7,1,54,27,67,4,0,2,0,5,5,44,3,3,29,3,0,0,0,19,19,1,1,1,7,0,21,0,0,20,92,0,0,0,7,0,1,17,0,1,0,1,0,89,0,0,81,1,0,0,0,0,0,12,76,0,0,0,1,0,38,15,0,15,0,0,1,4,0,5,5,0,5,0,0,89,12,0,0,3,0,22,0,0,78,0,80,1,0,0,48,0,0,0,10,60,2,2,7,0,5,0,4,75,0,0,55,1,40,0,73,1,0,0,0,2,37,0,0,0,0,0,0,87,62,6,0,1,0,2,0,81,0,1,0,35,0,2,2,0,0,93,0,2,4,0,0,1,0,18,0,0,0,5,0,0,0,59,0,35,61,1,15,3,0,1,0,3,13,3,34,0,18,0,0,0,57,0,20,0,0,0,0,0,0,66,0,0,0,0,33,0,0,0,0,0,1,12,78,0,14,0,36,0,62,1,8,0,0,0,0,0,94,8,0,0,6,0,31,0,100,30
2014-12-01,29,7,1,0,2,20,78,55,4,2,2,9,32,2,92,0,5,0,47,20,68,3,1,3,0,0,0,47,8,3,21,3,0,0,0,20,19,1,1,1,8,0,12,0,0,16,100,0,0,0,3,0,1,21,1,1,0,0,0,95,0,0,78,1,0,0,0,0,1,38,84,0,0,0,1,0,42,8,0,0,0,0,0,3,0,4,5,0,4,0,0,82,14,0,0,3,0,14,0,0,68,0,68,1,0,0,45,0,0,0,8,60,0,2,6,0,5,0,4,72,0,0,50,1,32,0,100,1,0,0,0,2,38,1,0,0,0,1,0,74,56,6,0,1,0,1,0,76,0,1,0,24,0,1,1,0,0,75,0,3,6,0,0,2,0,15,0,0,0,5,0,0,0,68,0,36,61,0,14,2,0,1,0,2,12,6,21,0,30,0,0,0,64,0,13,0,0,0,0,0,0,60,0,0,0,0,0,32,0,32,0,1,0,13,71,0,14,0,42,14,59,1,9,0,0,0,0,0,85,0,0,0,3,0,30,0,58,29
2015-01-01,34,7,1,0,2,14,76,68,0,3,3,8,37,6,81,0,3,0,54,26,97,3,0,2,0,3,3,37,4,4,16,3,0,0,0,15,22,1,1,1,6,0,19,1,0,19,81,0,0,0,4,0,0,20,1,1,0,1,0,79,0,0,66,1,0,0,0,0,0,100,77,0,0,0,1,0,25,11,0,11,0,0,0,4,0,3,2,0,4,0,0,83,12,0,0,3,0,12,0,0,61,0,58,1,0,0,46,0,0,0,10,49,0,3,9,0,4,0,3,67,0,0,53,1,37,0,95,2,0,0,0,2,36,1,0,0,0,1,0,71,68,5,0,1,0,1,0,69,0,1,0,23,0,1,1,0,0,67,0,3,6,0,0,1,0,13,0,0,0,4,0,0,0,64,0,26,65,1,10,1,0,0,0,4,16,0,45,0,11,0,0,0,55,0,14,0,28,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,11,84,13,0,0,41,0,58,1,9,0,0,0,0,0,93,8,0,0,6,0,35,0,42,28
2015-02-01,31,7,1,0,2,14,78,70,4,3,1,14,27,2,69,0,5,0,46,25,82,3,1,2,0,0,0,26,6,3,13,0,0,0,0,14,23,0,1,1,6,0,18,1,0,21,76,1,0,0,4,0,0,21,1,1,0,1,0,67,0,0,65,1,0,0,0,0,0,88,78,0,0,0,2,0,57,8,0,8,0,0,0,4,0,3,3,3,4,0,0,77,11,0,0,3,0,12,0,0,62,0,55,1,0,0,46,0,0,0,6,49,0,0,10,0,5,0,3,64,0,0,51,1,35,0,80,2,0,0,0,2,53,0,0,0,0,1,0,70,59,5,0,1,0,1,0,68,0,1,0,25,0,1,1,0,0,69,0,3,5,0,0,1,0,16,0,0,0,4,0,0,0,60,0,28,65,1,12,2,0,1,0,4,13,0,44,0,18,3,0,0,61,0,10,0,32,0,0,0,0,83,0,0,0,0,0,0,0,0,1,1,1,8,77,0,0,0,38,15,57,1,10,0,0,0,0,0,69,9,0,0,10,0,35,0,35,27
2015-03-01,33,8,1,0,2,10,73,59,3,3,1,6,31,3,56,0,5,1,63,30,83,3,0,2,0,6,0,31,14,3,26,3,0,0,0,13,37,1,1,1,7,0,20,0,0,17,56,0,0,0,7,0,1,15,2,1,0,1,0,77,0,0,67,1,0,0,0,0,0,58,76,0,0,0,1,0,37,7,0,7,0,0,1,4,0,5,4,0,0,0,0,73,10,0,0,3,0,13,0,0,72,0,51,1,0,0,44,0,0,0,8,48,0,0,10,0,4,0,3,65,0,0,52,1,37,0,61,2,0,0,0,2,43,0,0,0,0,1,0,64,61,4,0,0,0,1,0,86,0,1,0,24,0,1,1,0,0,60,0,3,4,0,0,2,0,17,0,0,0,4,0,0,0,51,0,25,78,1,8,2,0,0,0,8,21,3,55,0,21,3,0,0,46,0,18,0,0,0,0,0,0,83,0,0,0,0,62,0,0,0,1,2,0,10,77,14,14,0,55,13,66,1,9,0,0,0,0,8,59,8,0,0,8,0,30,0,36,28
2015-04-01,35,9,1,0,2,7,76,53,3,2,1,8,37,4,54,1,4,0,60,25,80,3,1,1,0,8,0,45,3,3,24,3,0,3,0,16,32,1,1,1,5,0,17,1,0,17,71,0,1,0,6,1,1,21,1,3,0,1,0,86,0,0,57,1,0,0,0,0,1,37,70,0,0,0,1,0,44,7,7,22,0,0,1,4,0,2,7,0,2,0,0,84,12,0,0,3,0,11,0,0,71,0,48,1,0,0,58,0,0,0,7,36,0,2,14,0,4,0,3,58,0,0,51,1,36,0,47,2,0,0,0,2,36,0,0,0,0,1,0,64,60,5,0,1,0,1,0,69,0,1,0,18,0,2,1,0,0,64,0,2,6,0,0,2,0,17,0,0,0,5,0,0,0,45,0,14,65,2,5,1,0,1,0,7,26,0,67,0,15,0,0,0,45,0,18,0,28,0,0,0,0,76,0,0,0,0,0,0,0,0,1,1,0,11,83,14,0,0,27,0,65,1,13,0,0,0,0,16,35,0,0,0,6,0,27,0,36,27
